cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate ,age,concrete_compressive_strength
145.4,0.0,178.9,201.7,7.8,824.0,868.7,28,10.54
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,270,67.11
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,14,19.42
145.7,172.6,0.0,181.9,3.4,985.8,816.8,28,23.74
322.0,149.0,0.0,186.0,8.0,951.0,709.0,28,52.42
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,28,46.39
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28,37.81
381.4,0.0,0.0,185.7,0.0,1104.6,784.3,7,14.54
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28,59.8
273.0,0.0,90.0,199.0,11.0,931.0,762.0,28,32.24
266.0,114.0,0.0,228.0,0.0,932.0,670.0,270,51.73
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,28,34.29
165.0,0.0,150.0,182.0,12.0,1023.0,729.0,28,18.03
480.0,0.0,0.0,192.0,0.0,936.0,721.0,90,54.28
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,7,19.77
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,56.06
425.0,106.3,0.0,151.4,18.6,936.0,803.7,91,66.7
339.0,0.0,0.0,197.0,0.0,968.0,781.0,3,13.22
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7,38.0
153.0,102.0,0.0,192.0,0.0,888.0,943.1,7,8.37
265.0,111.0,86.0,195.0,6.0,833.0,790.0,28,41.54
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,56,64.9
303.6,139.9,0.0,213.5,6.2,895.5,722.5,28,33.42
122.6,183.9,0.0,203.5,0.0,958.2,800.1,28,24.29
290.2,193.5,0.0,185.7,0.0,998.2,704.3,28,33.04
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,100,43.06
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,90,40.66
233.8,0.0,94.6,197.9,4.6,947.0,852.2,56,27.66
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,56,42.7
326.5,0.0,137.9,199.0,10.8,801.1,792.5,28,38.63
439.0,177.0,0.0,186.0,11.1,884.9,707.9,56,71.7
202.0,11.0,141.0,206.0,1.7,942.0,801.0,3,9.85
446.0,24.0,79.0,162.0,10.3,967.0,712.0,28,53.39
375.0,0.0,0.0,186.0,0.0,1038.0,758.0,28,38.21
387.0,20.0,94.0,157.0,14.3,938.0,845.0,28,50.24
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,14,21.5
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,28,32.66
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,100,37.34
522.0,0.0,0.0,146.0,0.0,896.0,896.0,28,74.99
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,56,36.3
393.0,0.0,0.0,192.0,0.0,940.6,785.6,28,39.6
339.0,0.0,0.0,197.0,0.0,968.0,781.0,90,35.17
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,100,58.61
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,28,19.77
385.0,0.0,0.0,186.0,0.0,966.0,763.0,7,23.22
144.0,15.0,195.0,176.0,6.0,1021.0,709.0,28,15.34
393.0,0.0,0.0,192.0,0.0,940.0,758.0,90,48.79
297.8,137.2,106.9,201.3,6.0,878.4,655.3,28,53.52
469.0,117.2,0.0,137.8,32.2,852.1,840.5,3,40.2
